Year,Salary Cap,2022 Salary Cap Adj.
1985,3600000,9793069
1986,4233000,11298280
1987,4945000,12734751
1988,6164000,15248702
1989,7232000,17069461
1990,9802000,21950887
1991,11871000,25499592
1992,12500000,26061180
1993,14000000,28354756
1994,15175000,29954782
1995,15964000,30651995
1996,23000000,42906004
1997,24363000,44402880
1998,26900000,48285994
1999,30000000,52688773
2000,34000000,57763864
2001,35500000,58657395
2002,42500000,69132284
2003,40271000,64048956
2004,43840000,67907202
2005,43870000,65719039
2006,49500000,71839551
2007,53135000,74973988
2008,55630000,75594893
2009,58680000,80023973
2010,57700000,77414680
2011,58044000,75491545
2012,58044000,73970553
2013,58044000,72903264
2014,58679000,72519787
2015,63065000,77841847
2016,70000000,85323721
2017,94143000,112368348
2018,99093000,115455294
2019,101869000,116573245
2020,109140000,123384194
2021,109140000,117838496
2022,112414000,112414000
2023,123655000,
